Name,Credential Type,Credential Number,Status,Expiration Date,Disciplinary Action,Address,State,County,Phone,First Issue Date,Primary Contact Name,Primary Contact Role
SUNSHINE ACADEMY PRE-SCHOOL,CENTER,1106-22,Active,11/30/23,N,"150 N. WILLOW ST MESQUITE, NV 89027",NV,CLARK,346-393-9400,12/1/13,JANEECE NOEL,Other
SUNRISE CHILDREN'S FOUNDATION EARLY HEAD START - SPRING VALLEY,CENTER,1288-22,Active,10/31/23,N,"2845 MOHAWK ST LAS VEGAS, NV 89146",NV,CLARK,362-231-1137,1/1/17,TANIA & NICOLE PINEDA & POBLETE,Director
BOLD AND BRIGHT ACADEMY LLC,FAMILY CARE,2919-23,Active,6/30/24,N,"6036 ATLANTIS DREAM AVE LAS VEGAS, NV 89139",NV,CLARK,417-631-1138,7/1/20,BETHANY JOHNSON,Owner
DISCOVERY GARDENS CHILDCARE L.L.C.,CENTER (PROVISIONAL),2199-23,Active,7/31/23,N,"555 PAGE ST LAS VEGAS, NV 89110",NV,CLARK,503-539-3810,5/18/17,SHERRITA MYERS,Other
THE LITTLE EXPLORERS LLC,GROUP CARE,2351-23,Active,1/31/24,N,"470 GYPSUM DRIVE SPRING CREEK, NV 89815",NV,ELKO,505-488-8895,2/7/18,KYLA HANNAH,Owner
DEE'S PLAY & LEARN CHRISTIAN ACADEMY,GROUP CARE,2454-23,Active,6/30/24,N,"6321 LAUREN ASHTON AVENUE LAS VEGAS, NV 89131",NV,CLARK,510-551-5129,7/9/18,DEETRA STEWART,Owner
LAKE MEAD CHRISTIAN ACADEMY - EARLY EDUCATION,CENTER,788-22,Active,8/31/23,N,"540 E. LAKE MEAD PKWY HENDERSON, NV 89015",NV,CLARK,565-583-1155,10/1/15,THERESA HEHN,Director
LITTLE SPROUT DAYCARE,GROUP CARE,3646-23,Active,5/31/24,N,"3135 FLORENTINE DRIVE CARSON CITY, NV 89701",NV,CARSON CITY,619-746-2485,6/1/23,MARIA ARREOLA,Owner
PRIMROSE OF LAS VEGAS AT LONE MOUNTAIN,CENTER,3497-22,Active,10/31/23,N,"3801 N. CAMPBELL RD LAS VEGAS, NV 89129",NV,CLARK,630-212-9413,11/18/22,JAINI AND STACY JARIWALA AND SURVIS,Other
PRIMROSE OF LAS VEGAS AT SILVERADO RANCH,CENTER,3496-22,Active,10/31/23,N,"9975 PLACID ST LAS VEGAS, NV 89135",NV,CLARK,630-212-9413,11/18/22,JAINI & SANDRA JARIWALA & CRAMER,Owner
